Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
6,1,1,1,'1-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matt Brandt,Evan Elliott,L,R,Fastball,Foul,,,0,0.560319087,0.447581533
6,1,1,2,'1-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matt Brandt,Evan Elliott,L,R,Fastball,Ball,,,0,-1.016598361,0.473405549
6,1,2,2,'2-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matt Brandt,Evan Elliott,L,R,Offspeed,Groundout,Ground Ball,Pull,0,0.114432084,0.374413486
6,2,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matthew Fabian,Evan Elliott,R,R,Fastball,Ball,,,0,-0.17920082,0.240989399
6,2,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matthew Fabian,Evan Elliott,R,R,Fastball,Ball,,,0,-0.77734192,0.10326131
6,2,2,0,'2-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matthew Fabian,Evan Elliott,R,R,Fastball,Groundout,Ground Ball,Opposite Field,0,-0.016071429,0.378717488
7,0,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Malik Williams,Wilgenis Alvarado,R,L,Offspeed,Ball,,,0,-0.103073771,0.404541505
7,0,1,0,'1-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Malik Williams,Wilgenis Alvarado,R,L,,Ball,,,0,NA,
7,0,2,0,'2-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Malik Williams,Wilgenis Alvarado,R,L,Fastball,Called Strike,,,0,-0.0595726,0.309853444
7,0,2,1,'2-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Malik Williams,Wilgenis Alvarado,R,L,Fastball,Swinging Strike,,,0,0.038305035,0.348589469
7,0,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Malik Williams,Wilgenis Alvarado,R,L,Fastball,Double,,,0,0.201434426,0.374413486
7,0,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Jamie Cabral,Wilgenis Alvarado,R,L,Fastball,Swinging Strike,,,10,0.060055621,0.460493541
7,0,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Jamie Cabral,Wilgenis Alvarado,R,L,Offspeed,Called Strike,,,10,0.01655445,0.413149511
