Title,Team / Org,Location,Distance (km),Distance (mi),Job Type,Posted,URL
"Specialist, Payroll",Los Angeles Dodgers,"Manager Los Angeles, CA",3502 km,2176 mi,,,https://www.teamworkonline.com/baseball-jobs/los-angeles-dodgers-jobs/los-angeles-dodgers/specialist-payroll-2172103
"Manager, Facility Operations",Los Angeles Dodgers,"Manager Los Angeles, CA",3502 km,2176 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/los-angeles-dodgers-jobs/los-angeles-dodgers/manager-facility-operations-2169237
"Director, Warehouse Operations",Los Angeles Dodgers,"Director Los Angeles, CA",3502 km,2176 mi,,1 month ago,https://www.teamworkonline.com/baseball-jobs/los-angeles-dodgers-jobs/los-angeles-dodgers/director-warehouse-operations-2165966
Culinary Associate,Los Angeles Dodgers,"Level Los Angeles, CA",3502 km,2176 mi,Entry Level,2 months ago,https://www.teamworkonline.com/baseball-jobs/los-angeles-dodgers-jobs/los-angeles-dodgers/culinary-associate-2162179
Broadcast Technology Engineer,Los Angeles Dodgers,"Senior Los Angeles, CA",3502 km,2176 mi,,2 months ago,https://www.teamworkonline.com/baseball-jobs/los-angeles-dodgers-jobs/los-angeles-dodgers/broadcast-technology-engineer-2160082
"Manager, Sales - North Port, FL",Atlanta Braves,"Manager Venice, US",N/A,N/A,,1 month ago,https://www.teamworkonline.com/baseball-jobs/atlanta-braves/atlanta-braves-jobs/manager-sales-north-port-fl-2164911
2026-2027 JetBlue Park Season & Group Ticket Associate,Boston Red Sox,"Part Time For, FL",N/A,N/A,Part Time,1 week ago,https://www.teamworkonline.com/baseball-jobs/fenwaysports/boston-red-sox/2026-2027-jetblue-park-season-group-ticket-associate-2171152
Minor League Assistant Athletic Trainer,Boston Red Sox,"Entry Level Worcester, MA",N/A,N/A,Entry Level,3 weeks ago,https://www.teamworkonline.com/baseball-jobs/fenwaysports/boston-red-sox/minor-league-assistant-athletic-trainer-2168421
"Assistant, Minor League Medical Coordinator",Los Angeles Dodgers,,N/A,N/A,Entry Level,,https://www.teamworkonline.com/baseball-jobs/los-angeles-dodgers-jobs/los-angeles-dodgers/assistant-minor-league-medical-coordinator-2137959
"Event Coordinator, Non-baseball events",New York Yankees,"Level The Bronx, NY",N/A,N/A,Entry Level,1 week ago,https://www.teamworkonline.com/baseball-jobs/new-york-yankees/new-york-yankees/event-coordinator-non-baseball-events-2170386
"Associate, Media Relations",New York Yankees,"Level The Bronx, NY",N/A,N/A,Entry Level,1 month ago,https://www.teamworkonline.com/baseball-jobs/new-york-yankees/new-york-yankees/associate-media-relations-2166344
Benefits and Wellness Senior Specialist,New York Yankees,"Senior The Bronx, NY",N/A,N/A,,2 months ago,https://www.teamworkonline.com/baseball-jobs/new-york-yankees/new-york-yankees/benefits-and-wellness-senior-specialist-2163513
Summer Sales Associate,New York Yankees,"Intern The Bronx, NY",N/A,N/A,Intern,2 months ago,https://www.teamworkonline.com/baseball-jobs/new-york-yankees/new-york-yankees/summer-sales-associate-2161939
"Senior Sales Manager, Yankee Stadium Events",New York Yankees,"Manager The Bronx, NY",N/A,N/A,,3 months ago,https://www.teamworkonline.com/baseball-jobs/new-york-yankees/new-york-yankees/senior-sales-manager-yankee-stadium-events-2159085
Junior Sales Associate,New York Yankees,"Time The Bronx, NY",N/A,N/A,Part Time,,https://www.teamworkonline.com/baseball-jobs/new-york-yankees/new-york-yankees/junior-sales-associate-2139373
"Coordinator, Stadium Security",New York Yankees,"Level The Bronx, NY",N/A,N/A,Entry Level,,https://www.teamworkonline.com/baseball-jobs/new-york-yankees/new-york-yankees/coordinator-stadium-security-2136193
"Analyst, Business Strategy & Analytics",Tampa Bay Rays,"Petersburg, FL",N/A,N/A,Entry Level,5 days ago,https://www.teamworkonline.com/baseball-jobs/tampa-bay-rays/tampa-bay-rays/analyst-business-strategy-analytics-2171507
Youth Academy Part-Time Field Coordinator,Texas Rangers,"Part Time Dallas, US",N/A,N/A,Part Time,2 months ago,https://www.teamworkonline.com/baseball-jobs/texasbaseball/texas-rangers/youth-academy-part-time-field-coordinator-2160624
"Coordinator, In-Game Entertainment and Promotions - Contract Role",Toronto Blue Jays,,N/A,N/A,Contract,1 week ago,https://www.teamworkonline.com/baseball-jobs/toronto-blue-jays-jobs/toronto-blue-jays/coordinator-in-game-entertainment-and-promotions-contract-role-2171088
Youth Baseball Senior / Head Coach & Instructor,MLB (Commissioner's Office),"Manager Syosset, NY",N/A,N/A,,1 week ago,https://www.teamworkonline.com/baseball-jobs/baseballjobs/ny-empire-baseball-jobs/youth-baseball-senior-head-coach-instructor-2170420
Promotions Internship 2026,MiLB,"Intern Joliet, IL",N/A,N/A,Intern,,https://www.teamworkonline.com/baseball-jobs/frontierleaguejobs/joliet-slammers/promotions-internship-2026-2172119
Creative Coordinator,MiLB,"Entry Level York, PA",N/A,N/A,Entry Level,1 day ago,https://www.teamworkonline.com/baseball-jobs/atlanticleague/york-revolution-28508/creative-coordinator-2172005
Broadcast Manager,MiLB,"Manager Asheville, NC",N/A,N/A,,2 days ago,https://www.teamworkonline.com/baseball-jobs/southatlanticleague/asheville-tourists/broadcast-manager-2171720
Fan Engagement & Marketing Intern,MiLB,"Intern Dickinson, ND",N/A,N/A,Intern,4 days ago,https://www.teamworkonline.com/baseball-jobs/northwoodsleague/badlands-big-sticks-jobs/fan-engagement-marketing-intern-2171607
"Manager, Stadium Operations",MiLB,"Manager San Bernadino, CA",N/A,N/A,,4 days ago,https://www.teamworkonline.com/baseball-jobs/diamond-baseball-holdings/inland-empire-66ers/manager-stadium-operations-2171591
2026 Ballpark Operations Internship (Free Housing),MiLB,"Intern Bismarck, ND",N/A,N/A,Intern,5 days ago,https://www.teamworkonline.com/baseball-jobs/northwoodsleague/bismarck-larks/2026-ballpark-operations-internship-free-housing-2171578
"Manager, Ticket Operations",MiLB,"Manager Papillion, NE",N/A,N/A,,1 week ago,https://www.teamworkonline.com/baseball-jobs/diamond-baseball-holdings/omaha-storm-chasers/manager-ticket-operations-2171013
Clubhouse Manager - ForeFront Field,MiLB,"Manager Avon, OH",N/A,N/A,,1 week ago,https://www.teamworkonline.com/baseball-jobs/frontierleaguejobs/lake-erie-crushers/clubhouse-manager-forefront-field-2170621
Clubhouse Intern,MiLB,"Intern Paterson, NJ",N/A,N/A,Intern,1 week ago,https://www.teamworkonline.com/baseball-jobs/frontierleaguejobs/new-jersey-jackals-jobs/clubhouse-intern-2170376
Fall/Winter '26 - Stadium Operations Intern,MiLB,"Intern Lancaster, PA",N/A,N/A,Intern,1 week ago,https://www.teamworkonline.com/baseball-jobs/atlanticleague/lancaster-barnstormers-28510/fall-winter-26-stadium-operations-intern-2170136
