Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
3,2,1,0,'1-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Cutter,Called Strike,,,0,-0.81130231,0.330019751
3,2,1,1,'1-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Cutter,Ball,,,0,1.414834804,0.843306981
3,2,2,1,'2-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Cutter,Ball,,,0,0.640526243,-0.221572497
3,2,3,1,'3-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Cutter,Foul,,,0,-0.637082884,0.437273799
3,2,3,2,'3-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Cutter,Flyout,Fly Ball,Straightaway,0,-0.656440598,0.50622283
4,0,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Jaden Leeder,Aidan Armitage,R,R,Breaking Ball,Called Strike,,,0,0.659883957,0.835645977
4,0,0,1,'0-1,2025-09-21,Brock Badgers,Waterloo Warriors,,Jaden Leeder,Aidan Armitage,R,R,Breaking Ball,Double,Line Drive,Opposite Field,0,0.659883957,0.345341758
4,0,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Brady Campbell,Aidan Armitage,R,R,Breaking Ball,Ball,,,10,0.330802818,-0.236894503
4,0,1,0,'1-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Brady Campbell,Aidan Armitage,R,R,,Additional Out,,,10,,
4,1,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Brady Campbell,Aidan Armitage,R,R,Breaking Ball,Called Strike,,,0,-1.159741162,0.690086912
4,1,0,1,'0-1,2025-09-21,Brock Badgers,Waterloo Warriors,,Brady Campbell,Aidan Armitage,R,R,Breaking Ball,Groundout,Ground Ball,Straightaway,0,0.29208739,0.437273799
4,2,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Breaking Ball,Called Strike,,,0,0.756672527,0.353002761
4,2,0,1,'0-1,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Fastball,Foul,,,0,0.776030241,0.50622283
4,2,0,2,'0-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Breaking Ball,Ball,,,0,1.376119376,-0.321165541
